,Id,Fk_Asset,FK_OtherParameter,FK_Company,FK_OilAndGas,FK_HistoricCompany,FK_DataQuality,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,NPV Current Year Forward Case,NPV Current Year High Case,NPV Current Year Low Case,NPV Current Year,NPV Current Year Mid Case,NPV Current Year Low Low Case,NPV Current Year Mid Low Case,NPV Current Year Low Low Low Case,NPV Current Year Mid Low Low Case,NPV Current Year Mid Mid Low Case,NPV Current Year Mid Mid Low Low Case
800,189321,105466,3,685,2,685,30,24,24,10,0.0199,0.043299999,0.0131,0.015,0.035500001,0.0069,0.0233,2.20E-03,1.50E-02,2.72E-02,1.91E-02
801,213767,113026,39,1084,2,1084,30,3,3,10,,,,,,,,,,4.119999886,
802,213772,113026,3,11168,4,11168,30,3,3,11,,38.02999878,,,20.77000046,,,,,,
803,213777,113026,111,8924,4,8924,30,3,3,11,-4.409999847,,13.75,-3.660000086,,17.25,1.700000048,20.96999931,9.81000042,,1.700000048
804,213778,113026,3,1084,4,1084,30,3,3,11,,7.599999905,,,4.150000095,,,,,,
805,213782,113026,3,8924,4,8924,30,3,3,11,,22.80999947,,,12.46000004,,,,,,
806,213790,113026,39,11168,4,11168,30,3,3,11,,,,,,,,,,10.28999996,
807,213794,113026,39,2770,4,2770,30,3,3,11,,,,,,,,,,2.059999943,
808,213804,113026,39,8924,4,8924,30,3,3,11,,,,,,,,,,6.170000076,
809,181538,97385,39,16,2,16,30,9,9,10,5.550000191,,,,,,,,,7.639999866,
810,181544,97385,3,16,9,16,30,9,9,15,,6.630000114,,,5.329999924,,,,,,
811,181545,97385,39,16,9,16,30,9,9,15,2.75999999,,,,,,,,,4.03000021,
812,246858,192071,75,18340,4,18340,30,31,31,11,10.52000046,,2.890000105,11.43999958,15.02000046,0.446999997,8.029999733,-1.149999976,5.480000019,11.65999985,6.130000114
813,246863,192071,39,685,4,685,30,31,31,11,,11.52999973,,,,,,,,,
814,253139,194789,3,685,4,685,30,24,24,11,0.0594,0.088,0.0059,0.043299999,0.064300001,-0.0025,0.0337,-1.05E-02,1.24E-02,4.91E-02,2.42E-02
815,253142,194789,3,685,12,685,30,24,24,8,0.0109,0.135000005,-0.039000001,-0.017899999,0.094499998,-0.062700003,0.0299,-8.60E-02,-1.76E-02,5.46E-02,5.70E-03
816,253145,194789,111,168,9,168,30,24,24,15,-0.0026,-0.0062,-0.001,,-0.005,-0.0005,-0.0031,1.00E-04,,-3.80E-03,-2.30E-03
817,253146,194789,3,10,9,10,30,24,24,15,0.0031,0.0072,0.0012,0.002,0.0058,0.0005,0.0037,-2.00E-04,1.90E-03,4.40E-03,2.70E-03
818,253148,194789,111,685,2,685,30,24,24,10,-0.0124,-0.027100001,-0.006,,-0.0221,-0.0036,-0.0144,-1.20E-03,,-1.71E-02,-0.0112
819,253156,194789,3,168,4,168,30,24,24,11,0.108999997,0.162000001,0.0108,0.079700001,0.118000001,-0.0046,0.062100001,-0.019400001,2.29E-02,9.04E-02,4.45E-02
820,253162,194791,3,168,12,168,30,24,24,8,1.139999986,1.419999957,1.019999981,1.120000005,1.340000033,0.981000006,1.190000057,0.935000002,1.070000052,1.25999999,1.139999986
821,253164,194791,111,685,9,685,30,24,24,15,-0.0016,-0.0039,-0.003,-0.0011,-0.0031,-1.00E-04,-0.0019,2.00E-04,-1.10E-03,-2.30E-03,-1.50E-03
822,253170,194791,111,168,9,168,30,24,24,15,-0.0029,-0.0071,-0.0055,-0.002,-0.0057,-0.0003,-0.0035,4.00E-04,-1.90E-03,-4.30E-03,-2.70E-03
823,253178,194791,3,685,12,685,30,24,24,8,0.620000005,0.773000002,0.558000028,0.611000001,0.726999998,0.53399998,0.647000015,0.509000003,0.584999979,0.688000023,0.619000018
824,253184,194792,111,10,9,10,30,24,24,15,-0.0009,,-1.00E-04,-0.0003,,0.0004,-0.0014,9.00E-04,-4.00E-04,-1.90E-03,-7.00E-04
825,253193,194792,111,10,12,10,30,24,24,8,0.523999989,,0.609000027,0.528999984,,0.651000023,0.493999988,0.672999978,0.566999972,0.423000008,0.528999984
826,253194,194792,111,685,4,685,30,24,24,11,-0.038199998,,0.0067,-0.002,,0.0138,-0.0177,3.08E-02,1.20E-03,-1.40E-02,-4.30E-03
