,Id,FK_Asset,Year,FK_Company,FK_OilAndGas,FK_DataQuality,FK_OtherParameter,FK_HistoricCompany,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,Production,Production Forward Case,Production High Case,Production Low Case,Production Mid Case,Production Low Low Case,Production Mid Low Case,Production Low Low Low Case,Production Mid Low Low Case,Production Mid Mid Low Case,Production Mid Mid Low Low Case
2803,9141152,32604,2033,168,9,29,84,168,14,9,18,,,,0.0013,,0.0013,,1.30E-03,1.30E-03,,
2804,9141153,32604,2033,168,9,29,84,168,14,9,19,,,,0.0021,,0.0021,,2.10E-03,2.10E-03,,
2805,9141177,32604,2033,685,9,29,84,685,14,9,19,,,,0.0012,,0.0012,,1.20E-03,1.20E-03,,
2806,8935210,192071,2032,685,4,29,48,685,15,31,11,,,0.128999993,,,,,,,,
2807,8935212,192071,2032,685,4,29,120,685,15,31,11,-0.128999993,-0.128999993,,-0.128999993,-0.128999993,-0.128999993,-0.128999993,-0.128999993,-0.128999993,-0.128999993,-0.128999993
2808,8935219,192071,2032,18340,12,29,48,18340,15,31,8,,,1.019999981,,,,,,,,
2809,9140820,32560,2033,10,12,29,12,10,14,14,8,0.0004,0.0004,0.0004,0,0.0004,0,0.0004,0,4.00E-04,4.00E-04,4.00E-04
2810,8897529,113026,2032,685,4,29,120,685,15,3,11,-0.439000011,-0.439000011,,-0.439000011,,-0.439000011,-0.439000011,-0.43900001,-0.43900001,,-0.43900001
2811,8897536,113026,2032,1084,4,29,84,1084,15,3,11,0.174999997,0.174999997,,0.174999997,,0.174999997,0.174999997,0.174999997,0.174999997,,0.174999997
2812,8897551,113026,2032,8924,4,29,48,8924,15,3,11,,,,,,,,,,0.526000023,
2813,9279812,109270,2033,9704,10,29,12,9704,26,26,22,0.30399999,0.30399999,0.30399999,0.30399999,0.30399999,0.30399999,0.30399999,0.30399999,0.30399999,0.30399999,0.30399999
2814,9408759,279421,2033,10,4,29,12,10,16,8,11,,,0.246999994,,0.246999994,,,,,0.246999994,
2815,9408762,279421,2033,10,12,29,12,10,16,8,8,,,0.99000001,,0.99000001,,,,,0.99000001,
2816,9408764,279421,2033,10,12,29,120,10,16,8,8,-0.99000001,-0.99000001,,-0.99000001,,-0.99000001,-0.99000001,-0.99000001,-0.99000001,,-0.99000001
2817,9408774,279421,2033,685,12,29,12,685,16,8,8,,,0.458000004,,0.458000004,,,,,0.458000004,
2818,9249737,89094,2033,9703,11,29,12,9703,30,30,21,0.879000008,0.879000008,0.879000008,0.879000008,0.879000008,0.879000008,0.879000008,0.879000008,0.879000008,0.879000008,0.879000008
2819,9727090,119380,2034,1084,12,29,120,1084,15,3,6,-0.165999994,,,-0.165999994,,-0.165999994,,-0.165999994,-0.165999994,,
2820,8747240,32566,2032,168,4,29,120,168,17,6,11,,,,-1.25,,-1.25,,-1.25,-1.25,,-1.25
2821,8747434,32598,2032,18340,9,29,120,18340,14,9,20,0,0,0,0,0,0,0,0,0,0,0
2822,8988063,237729,2032,685,9,29,12,685,15,9,18,,,0.015699999,,0.015699999,,,,,1.57E-02,
2823,9140864,32561,2033,685,4,29,12,685,2,14,11,0,0.0405,0.0405,0,0.0405,0,0.0405,0,0,0.0405,0
2824,9140963,32576,2033,16,2,29,12,16,17,10,10,0.319999993,0.319999993,0.319999993,0.319999993,0.319999993,0.319999993,0.319999993,,0.319999993,0.319999993,0.319999993
2825,9141075,32598,2033,12830,9,29,84,12830,14,9,19,0,0,0,0,0,0,0,0,0,0,0
2826,9141091,32598,2033,18340,9,29,120,18340,14,9,19,0,0,0,0,0,0,0,0,0,0,0
2827,638040,32560,1971,685,12,29,12,6,24,14,8,0,0,0,0,0,0,0,0,0,0,0
2828,7816676,113026,2029,685,2,29,84,685,17,3,10,0.0151,0.0151,,0.0151,,0.0151,0.0151,0.0151,0.0151,,0.0151
2829,7816677,113026,2029,685,2,29,120,685,17,3,10,-0.0151,-0.0151,,-0.0151,,-0.0151,-0.0151,-0.0151,-0.0151,,-0.0151
2830,7816679,113026,2029,685,4,29,48,685,17,3,11,,,,,,,,,,5.55E-02,
2831,7816688,113026,2029,1084,4,29,84,1084,17,3,11,0.0222,0.0222,,0.0222,,0.0222,0.0222,2.22E-02,2.22E-02,,2.22E-02
2832,7816691,113026,2029,2770,2,29,48,2770,17,3,10,,,,,,,,,,6.00E-03,
2833,7816705,113026,2029,8924,4,29,120,8924,17,3,11,-0.066699997,-0.066699997,,-0.066699997,,-0.066699997,-0.066699997,-6.67E-02,-6.67E-02,,-6.67E-02
2834,674556,32560,1972,685,12,1,12,20932,3,14,8,0.052499998,0.052499998,0.052499998,0.052499998,0.052499998,0.052499998,0.052499998,5.25E-02,5.25E-02,5.25E-02,5.25E-02
2835,2816792,89094,2000,9703,11,21,12,9703,30,30,21,0.819000006,0.819000006,0.819000006,0.819000006,0.819000006,0.819000006,0.819000006,0.819000006,0.819000006,0.819000006,0.819000006
2836,795217,32560,1975,685,12,1,12,3,17,14,8,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999
2837,2884635,32555,2001,168,4,21,12,3,15,14,11,0.221000001,0.221000001,0.221000001,0.221000001,0.221000001,0.221000001,0.221000001,0.221000001,0.221000001,0.221000001,0.221000001
2838,2884636,32555,2001,168,12,1,12,3,15,14,8,0.584999979,0.584999979,0.584999979,0.584999979,0.584999979,0.584999979,0.584999979,0.584999979,0.584999979,0.584999979,0.584999979
